product_id,product_name,category,cost_price,base_price,current_price,competitor_price,demand_level,inventory_level,season,quantity_sold,optimal_selling_price
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,65.16,65.43,3,222,2,56,62.14
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,26.43,22.05,3,234,4,66,25.46
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.21,21.76,1,21,2,39,20.34
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,38.22,34.82,3,104,4,70,42.87
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,31.68,38.95,2,163,3,36,36.57
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.22,30.86,2,216,3,32,28.52
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,50.76,61.58,1,26,4,43,59.01
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,108.5,101.14,2,204,2,38,94.42
2,Smart Fitness Watch,Electronics,30.0,69.99,72.29,66.42,2,232,1,37,64.45
3,Ergonomic Office Chair,Furniture,75.0,179.99,187.9,169.21,2,119,3,33,175.68
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,55.52,58.56,3,188,2,70,60.36
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.0,25.35,1,88,2,27,23.78
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.85,19.64,1,136,2,33,18.79
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,38.26,41.96,2,38,2,45,42.82
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,32.88,30.0,1,136,1,26,30.96
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.31,30.67,2,113,4,43,32.08
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,57.05,61.47,3,241,1,52,58.94
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,94.37,109.11,2,133,1,32,103.64
2,Smart Fitness Watch,Electronics,30.0,69.99,64.69,62.29,2,150,3,38,66.91
3,Ergonomic Office Chair,Furniture,75.0,179.99,196.19,201.13,2,199,4,47,187.77
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,64.76,64.38,2,81,2,35,61.75
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,26.69,23.32,3,139,2,56,25.89
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.08,18.91,2,50,2,48,19.56
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,37.84,42.32,2,31,4,49,45.55
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,34.4,31.91,2,246,1,41,31.73
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.13,32.38,2,16,3,33,32.49
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,59.3,60.53,2,203,2,43,53.77
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,99.75,93.18,2,114,3,34,97.27
2,Smart Fitness Watch,Electronics,30.0,69.99,73.13,77.14,3,174,1,44,79.8
3,Ergonomic Office Chair,Furniture,75.0,179.99,183.3,188.79,1,124,2,31,170.74
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,57.92,59.17,2,240,4,50,59.45
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.88,28.37,2,228,1,33,24.76
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,18.2,22.7,1,32,1,31,21.03
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.59,36.38,1,54,2,31,36.33
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,33.02,37.08,3,57,1,61,39.01
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.97,28.29,2,94,4,49,31.07
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,50.33,58.13,2,41,3,46,56.25
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,107.0,103.0,1,159,1,21,94.6
2,Smart Fitness Watch,Electronics,30.0,69.99,70.07,66.66,3,225,4,73,72.19
3,Ergonomic Office Chair,Furniture,75.0,179.99,196.58,187.31,3,196,2,48,188.84
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,57.23,65.54,2,138,4,55,65.94
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.67,26.72,2,233,2,45,24.14
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.52,18.45,2,171,4,43,20.54
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,38.68,39.92,2,139,2,44,39.96
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,33.45,36.0,3,157,1,58,38.08
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,28.14,27.66,2,157,2,45,29.06
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,54.89,59.82,1,71,4,29,57.18
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,96.11,102.44,2,150,3,34,100.97
2,Smart Fitness Watch,Electronics,30.0,69.99,67.62,74.25,2,79,2,49,71.69
3,Ergonomic Office Chair,Furniture,75.0,179.99,166.33,163.39,1,152,2,36,161.4
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,61.06,64.67,2,40,2,49,61.86
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.97,23.95,2,196,2,44,23.1
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,20.2,21.17,1,237,4,45,18.84
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,36.09,37.4,2,102,2,53,38.95
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,37.52,30.94,1,140,1,23,31.47
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,31.11,26.86,3,92,1,52,31.27
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,56.16,59.79,1,148,4,33,56.59
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,98.84,110.79,3,93,1,48,114.47
2,Smart Fitness Watch,Electronics,30.0,69.99,65.9,63.92,2,55,2,43,67.56
3,Ergonomic Office Chair,Furniture,75.0,179.99,168.25,157.04,1,130,4,37,171.69
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,62.43,59.16,2,82,2,44,59.66
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.62,25.32,2,247,3,39,23.61
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,18.65,18.84,2,160,3,40,19.53
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,39.5,39.61,2,118,3,33,39.84
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,32.05,30.16,2,97,3,42,33.06
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.15,27.55,2,235,1,49,27.27
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,52.46,47.41,3,135,4,74,60.35
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,93.62,102.55,2,140,1,37,101.01
2,Smart Fitness Watch,Electronics,30.0,69.99,67.49,61.69,1,120,4,37,65.83
3,Ergonomic Office Chair,Furniture,75.0,179.99,196.02,196.92,2,131,1,32,186.76
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,65.63,58.27,2,15,4,47,66.0
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.56,22.65,2,208,4,46,23.97
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,18.8,20.29,3,127,4,71,22.51
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.77,41.3,1,55,3,18,37.42
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,38.43,39.32,2,45,2,37,36.72
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,29.98,31.94,2,84,4,55,32.62
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,52.17,55.84,2,250,2,37,52.01
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,107.27,93.28,3,121,3,52,106.16
2,Smart Fitness Watch,Electronics,30.0,69.99,66.95,65.76,2,183,4,51,68.05
3,Ergonomic Office Chair,Furniture,75.0,179.99,193.14,177.1,2,100,4,42,189.56
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,56.25,63.54,2,74,4,55,65.09
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,22.71,26.82,2,222,4,52,25.63
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.27,22.87,2,24,2,44,22.2
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,40.01,41.07,3,238,4,77,42.32
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,32.5,38.88,3,34,4,82,44.3
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,28.58,31.1,2,35,3,45,31.96
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,53.67,51.97,2,209,4,45,53.59
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,107.44,86.07,1,176,3,30,88.51
2,Smart Fitness Watch,Electronics,30.0,69.99,64.37,72.8,3,128,2,68,77.14
3,Ergonomic Office Chair,Furniture,75.0,179.99,194.51,155.47,3,90,3,46,183.21
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,60.78,65.25,1,35,4,35,65.29
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.69,28.08,1,133,3,22,25.07
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.85,18.72,2,33,4,51,21.68
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.55,45.84,2,123,3,30,42.33
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,38.48,38.7,1,112,3,24,34.39
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.95,28.15,3,183,4,61,31.61
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,57.68,47.55,2,142,3,40,52.01
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,105.5,91.89,3,71,2,53,105.07
2,Smart Fitness Watch,Electronics,30.0,69.99,72.22,77.09,2,246,1,32,68.46
3,Ergonomic Office Chair,Furniture,75.0,179.99,173.11,176.79,2,202,2,49,167.99
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,62.96,54.15,1,153,3,26,54.27
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,27.06,27.47,2,226,4,48,25.89
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.47,21.81,2,34,2,39,21.75
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,42.02,36.7,2,187,4,53,38.53
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,34.05,38.04,1,152,1,26,33.97
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,31.03,31.54,2,225,3,38,28.77
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,49.77,61.33,2,249,2,51,54.07
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,102.94,104.05,2,194,3,35,95.52
2,Smart Fitness Watch,Electronics,30.0,69.99,63.63,60.27,3,44,1,58,70.18
3,Ergonomic Office Chair,Furniture,75.0,179.99,181.34,173.98,2,205,4,44,176.95
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,64.61,62.78,3,172,4,60,71.05
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.89,26.42,1,128,2,33,24.22
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,20.17,22.86,2,116,3,36,21.14
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,37.51,35.46,3,131,1,54,41.23
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,31.64,38.0,1,47,2,30,33.4
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,31.58,27.36,1,237,2,27,26.01
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,49.52,60.9,1,48,3,32,54.6
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,92.19,110.98,1,106,2,33,97.14
2,Smart Fitness Watch,Electronics,30.0,69.99,64.77,68.33,1,31,4,38,72.37
3,Ergonomic Office Chair,Furniture,75.0,179.99,175.02,185.05,2,71,1,38,182.01
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,61.9,56.42,2,22,1,27,61.49
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,27.48,27.59,2,42,4,43,27.59
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.59,18.92,1,47,3,19,18.49
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,40.67,42.54,2,167,3,31,41.01
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,32.19,37.11,3,181,2,70,36.1
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.32,29.21,3,117,4,63,33.52
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,52.29,62.47,2,136,1,37,57.98
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,91.82,87.55,2,205,3,44,89.31
2,Smart Fitness Watch,Electronics,30.0,69.99,71.2,71.28,2,46,4,44,74.74
3,Ergonomic Office Chair,Furniture,75.0,179.99,174.72,188.92,3,237,1,60,184.21
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,60.92,54.82,2,72,1,36,57.92
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.24,25.41,1,86,2,34,24.13
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.26,20.67,2,21,3,27,21.28
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,36.22,37.27,3,250,3,59,38.66
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,36.09,30.47,2,22,1,38,34.84
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,31.47,27.43,2,102,2,36,28.97
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,58.03,56.11,1,28,2,33,53.92
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,102.35,105.21,2,184,4,44,101.71
2,Smart Fitness Watch,Electronics,30.0,69.99,66.81,75.34,1,125,1,28,67.18
3,Ergonomic Office Chair,Furniture,75.0,179.99,186.42,179.27,2,26,2,37,188.69
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,54.08,56.42,1,50,3,33,54.56
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.09,24.97,2,48,4,52,26.48
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,20.22,21.0,2,116,1,36,20.39
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,39.48,39.51,1,95,4,29,39.52
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,32.3,29.96,2,220,4,52,32.86
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,31.98,33.77,1,231,1,24,27.86
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,53.84,51.86,2,100,2,50,53.74
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,91.52,103.99,2,64,3,36,101.59
2,Smart Fitness Watch,Electronics,30.0,69.99,72.03,62.59,1,80,2,37,62.13
3,Ergonomic Office Chair,Furniture,75.0,179.99,167.49,193.98,1,212,4,33,174.41
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,62.16,66.87,2,174,3,37,62.74
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,26.81,25.94,1,32,4,28,26.29
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,18.22,20.03,2,130,1,44,20.01
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,36.45,43.97,1,236,1,26,36.68
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,35.37,38.05,3,130,2,57,38.61
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,29.84,26.85,1,41,3,28,27.18
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,49.92,58.42,3,149,2,69,60.21
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,108.35,96.61,3,188,1,49,97.66
2,Smart Fitness Watch,Electronics,30.0,69.99,64.31,73.74,2,200,2,43,67.2
3,Ergonomic Office Chair,Furniture,75.0,179.99,173.99,184.46,1,104,3,33,170.09
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,61.13,67.87,2,111,3,35,63.14
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,26.56,26.27,3,204,1,46,25.6
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.44,18.07,1,211,4,32,17.77
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.99,35.85,2,216,1,28,36.03
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,36.66,35.27,2,239,2,41,33.0
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,30.57,26.88,1,192,2,29,25.25
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,57.41,62.74,2,207,4,46,57.88
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,94.67,92.17,3,215,4,77,104.61
2,Smart Fitness Watch,Electronics,30.0,69.99,70.98,68.74,3,214,4,67,74.44
3,Ergonomic Office Chair,Furniture,75.0,179.99,177.06,161.74,1,169,2,32,162.19
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,58.44,67.81,2,147,1,38,63.12
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,23.92,26.96,2,246,2,47,24.23
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,21.63,21.89,3,21,4,61,24.31
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,40.01,36.82,3,110,2,70,42.28
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,36.04,38.05,1,88,4,35,36.38
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.82,31.84,2,16,1,44,32.27
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,51.14,62.25,2,123,1,42,57.89
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,105.51,92.12,1,76,4,29,94.7
2,Smart Fitness Watch,Electronics,30.0,69.99,74.7,69.99,2,176,2,36,69.99
3,Ergonomic Office Chair,Furniture,75.0,179.99,187.86,168.72,1,105,2,26,166.13
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,60.27,57.48,3,154,1,51,63.09
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,24.84,26.01,3,79,1,52,26.97
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,20.62,17.61,2,208,3,37,17.9
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,37.06,38.22,2,179,2,51,39.28
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,38.35,34.76,1,49,1,18,33.11
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,32.65,25.82,1,217,2,30,24.82
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,53.87,60.19,2,24,2,42,59.92
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,95.71,110.85,1,182,3,27,91.94
2,Smart Fitness Watch,Electronics,30.0,69.99,68.59,68.72,3,101,2,70,74.68
3,Ergonomic Office Chair,Furniture,75.0,179.99,179.9,202.9,2,220,1,37,177.8
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,61.22,65.79,2,97,1,35,62.31
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,22.89,26.2,2,169,4,58,27.0
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.78,21.35,3,172,4,74,23.15
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,43.83,45.36,1,178,4,26,42.31
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,38.16,31.24,2,215,4,50,33.37
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,27.2,26.1,3,108,3,56,30.72
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,56.96,62.39,2,210,1,39,54.47
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,101.47,100.87,2,181,3,37,94.32
2,Smart Fitness Watch,Electronics,30.0,69.99,73.29,69.97,2,158,1,37,69.98
3,Ergonomic Office Chair,Furniture,75.0,179.99,171.41,167.05,2,171,3,35,174.81
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,56.39,53.43,1,59,4,24,58.37
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,26.54,28.5,3,185,3,47,26.41
6,Organic Cotton Running T-Shirt,Apparel,6.5,19.99,19.19,17.94,2,194,2,41,18.02
7,Compact Cold Brew Coffee Maker,Home & Kitchen,15.0,39.99,42.34,40.1,1,66,2,28,37.41
8,Ultra-Slim 7-in-1 USB-C Hub,Accessories,12.0,34.99,35.5,34.65,3,48,1,56,36.71
9,Adjustable Aluminum Laptop Stand,Accessories,11.0,29.99,29.38,31.94,2,120,4,52,32.62
10,Water-Resistant Outdoor Backpack,Travel,22.0,54.99,60.19,57.34,2,189,3,32,52.57
1,Wireless Noise-Canceling Headphones,Electronics,45.0,99.99,92.56,109.86,2,165,2,48,103.94
2,Smart Fitness Watch,Electronics,30.0,69.99,70.03,77.72,3,147,2,59,77.85
3,Ergonomic Office Chair,Furniture,75.0,179.99,167.82,203.46,1,147,3,30,179.04
4,RGB Mechanical Gaming Keyboard,Electronics,28.0,59.99,60.6,53.24,2,151,1,35,57.29
5,Stainless Steel Thermal Water Bottle,Home & Kitchen,8.0,24.99,25.0,22.51,3,54,2,58,25.92
